codigo_postal,precio_m2,precio_medio,superficie_media,total_informados,total,es_estimado
03550,2468.516708,260744.165344,105.6278,653.0,699.0,0
03559,2118.722706,227611.353571,107.4285,14.0,14.0,0
03560,2562.255678,262588.372948,102.4832,658.0,729.0,0
03570,2262.230533,217316.286533,96.0628,923.0,1016.0,0
03590,2880.536798,378276.843773,131.3216,485.0,517.0,0
03599,2785.138387,445086.538461,159.8076,52.0,55.0,0
03600,780.563048,80375.156154,102.9707,957.0,1071.0,0
03610,988.861728,105406.390864,106.5936,347.0,379.0,0
03657,,,,,3.0,0
03660,796.147282,91646.676589,115.1127,346.0,373.0,0
03680,879.675953,115857.175693,131.7043,274.0,288.0,0
03690,1630.450337,189172.66352,116.0247,605.0,677.0,0
03699,939.347414,224828.534,239.3454,55.0,62.0,0
03710,2840.796905,326678.961975,114.9955,896.0,959.0,0
03720,2580.558643,497762.183893,192.8893,262.0,297.0,0
03770,2300.987508,228521.583874,99.3145,302.0,323.0,0
03780,1129.928184,161035.864481,142.5186,241.0,251.0,0
03100,548.872082,67604.823863,123.1704,176.0,232.0,0
03111,1366.564881,308535.516274,225.7745,102.0,115.0,0
03139,1977.288385,382652.380952,193.5238,21.0,25.0,0
03150,1216.000678,152163.206829,125.1341,164.0,190.0,0
03160,922.893739,98794.649295,107.0487,369.0,491.0,0
03178,2342.191666,284810.506666,121.6,150.0,155.0,0
03187,1868.450803,188104.950057,100.6742,175.0,190.0,0
03189,2688.284583,242613.610481,90.2484,2640.0,2726.0,0
03191,2626.458503,238808.447754,90.9241,659.0,678.0,0
03193,2027.677195,189591.50449,93.5018,550.0,571.0,0
03300,1880.93743,184104.485139,97.8791,1216.0,1328.0,0
03311,1664.227742,174336.346938,104.7551,98.0,108.0,0
03312,625.568204,94293.980666,150.7333,30.0,36.0,0
03313,1679.218518,175285.76422,104.3853,109.0,116.0,0
03314,736.578866,90407.049565,122.7391,23.0,28.0,0
03315,1187.385192,162071.094117,136.4941,85.0,89.0,0
03316,1060.93978,143787.366792,135.5283,53.0,59.0,0
03319,3052.606391,289183.578833,94.7333,60.0,67.0,0
03321,,,,,,0
03322,,,,,,0
03325,763.193504,94000.0,123.1666,6.0,7.0,0
03330,733.314172,78170.788561,106.5993,292.0,333.0,0
03339,1242.745098,176055.555555,141.6666,9.0,12.0,0
03348,613.831993,112740.47619,183.6666,21.0,26.0,0
03350,610.308934,84163.807951,137.9036,83.0,94.0,0
03360,606.945355,68697.686942,113.1859,242.0,289.0,0
03369,589.813934,76634.421052,129.9298,57.0,62.0,0
03370,626.690709,83651.60432,133.4814,81.0,90.0,0
03380,891.710288,105884.678318,118.7433,113.0,117.0,0
03390,724.97984,96361.90375,132.9166,72.0,76.0,0
03400,545.157451,72041.901137,132.1487,457.0,632.0,0
03408,562.034739,75500.0,134.3333,6.0,6.0,0
03410,692.206583,82651.388888,119.4027,72.0,79.0,0
03420,868.732792,116753.43472,134.3951,286.0,303.0,0
03430,749.17572,85103.173829,113.5957,94.0,191.0,0
03450,503.71074,77143.775094,153.1509,53.0,80.0,0
03509,2826.06608,377731.363338,133.6597,629.0,658.0,0
03510,1190.251399,126268.669904,106.0857,105.0,111.0,0
03520,2756.693222,328451.50526,119.1469,211.0,215.0,0
03580,2402.264555,320807.271407,133.5436,206.0,220.0,0
03581,3015.020803,363836.727269,120.6746,249.0,275.0,0
03630,663.51941,97000.975389,146.1916,167.0,188.0,0
03639,,,,,,0
03640,627.657229,79461.405217,126.6,230.0,266.0,0
03649,574.142791,82829.666666,144.2666,15.0,22.0,0
03658,908.331558,232615.454545,256.0909,11.0,18.0,0
03669,925.68751,148126.241754,160.0175,57.0,67.0,0
03670,1223.329256,197325.118189,161.3017,116.0,126.0,0
03679,1756.276747,207856.493506,118.3506,77.0,79.0,0
03689,995.529341,184412.592592,185.2407,54.0,105.0,0
03698,897.958703,107030.375964,119.1929,57.0,67.0,0
03700,2971.518507,310878.92886,104.6195,1422.0,1555.0,0
03709,1528.079988,256309.95,167.7333,30.0,33.0,0
03724,3427.110965,570247.073341,166.3929,425.0,442.0,0
03725,1605.580152,212874.906233,132.5844,77.0,87.0,0
03726,2756.500819,401874.848598,145.7916,264.0,270.0,0
03727,1849.476926,281212.966666,152.05,60.0,71.0,0
03730,3481.165569,535823.953979,153.9208,897.0,979.0,0
03737,2931.537033,987011.875,336.6875,16.0,16.0,0
03738,4471.60828,573189.577236,128.1842,76.0,91.0,0
03739,734.525447,667500.0,908.75,4.0,4.0,0
03740,1338.1356,179253.22851,133.9574,94.0,94.0,0
03749,1833.75959,325909.090909,177.7272,11.0,18.0,0
03750,2100.66054,280673.97053,133.6122,245.0,289.0,0
03759,1178.80457,200430.457142,170.0285,35.0,60.0,0
03760,1332.722751,159090.234042,119.3723,94.0,101.0,0
03779,1859.628828,243933.517007,131.1732,127.0,131.0,0
03801,794.951496,74234.788071,93.3827,337.0,413.0,0
03802,867.714774,83964.383076,96.7649,234.0,252.0,0
03803,841.747125,86332.95216,102.564,250.0,269.0,0
03804,825.63027,78727.84129,95.3548,217.0,238.0,0
03819,,,,,,0
03820,714.129098,93857.521739,131.4293,184.0,222.0,0
03829,644.914168,84384.538461,130.8461,13.0,20.0,0
03830,631.675615,95370.256767,150.9797,99.0,111.0,0
03839,674.753451,114033.333333,169.0,6.0,7.0,0
03870,,,,,,0
03108,666.939764,113379.76,170.0,15.0,15.0,0
03109,1146.025901,165505.240666,144.4166,60.0,66.0,0
03159,1321.933696,137829.746263,104.2637,91.0,97.0,0
03169,2465.624209,227088.069929,92.1016,423.0,427.0,0
03176,,,,,,0
03310,864.559923,103981.857142,120.2714,70.0,73.0,0
03349,833.097262,82997.314791,99.625,48.0,83.0,0
03460,500.905797,86406.25,172.5,16.0,21.0,0
03469,335.531739,50875.0,151.625,8.0,12.0,0
03516,1240.046838,176500.0,142.3333,6.0,6.0,0
