codigo_postal,tipo,nombre
15510,colegio,Colexio de Eduación Infantil e Primaria de Maciñeira
03203,colegio,Institut d'Educació Secundària Victoria Kent
03005,colegio,Institut d'Educació Secundària 8 de Marzo
27500,colegio,Colexio de Educación Infantil e Primaria Plurilingüe Eloísa Rivadulla
46022,colegio,Col·legi Explorador Andrés
03203,colegio,Institut d'Educació Secundària Cayetano Sempere
03203,colegio,Institut d'Educació Secundària Pere Ibarra
46015,colegio,Escuelas de San José - Jesuitas
46015,colegio,Colegio Sagrada Familia
36860,colegio,Instituto de Educación Secundaria do Barral
46119,colegio,Institut d'Educació Secundària Carmen Roca
46015,colegio,Colegio Niño Jesús
15009,colegio,Centro Privado Plurilingüe Liceo La Paz
27695,colegio,Centro de Formación e Experimentación Agroforestal de Becerreá
03750,colegio,Institut d'Educació Secundària de Pedreguer
15705,colegio,Escola Oficial de Idiomas de Santiago de Compostela
46035,colegio,Col·legi d'Educació Infantil i Primària Camí de l'Horta
46022,colegio,Institut d'Educació Secundària Sorolla
46022,colegio,Col·legi d'Educació Primària Aiora
15707,colegio,Colexio de Educación Infantil e Primaria Plurilingüe Monte dos Postes
15707,colegio,Instituto de Educación Secundaria As Fontiñas
46450,colegio,Col·legi d'Educació Infantil i Primària Santa Bàrbara
36207,colegio,Instituto de Educación Secundaria República Oriental do Uruguai
36201,colegio,Colexio de Educación Infantil e Primaria Vicente Risco
46014,colegio,Col·legi d'Educació Infantil i Primària Eliseo Vidal
46015,colegio,Institut d'Educació Secundària Benicalap
46015,colegio,Col·legi d'Educació Infantil i Primària Lluís Guarner
46025,colegio,Col·legi d'Educació Infantil i Primària Ciudat Artista Faller
03203,colegio,Colegio la Devesa
46024,colegio,Col·legi d'Educació Infantil i Primària Ausiàs March
46009,colegio,Col·legi Maria Inmaculada
36216,colegio,Colexio de Educación Infantil e Primaria Plurilingüe Frián-Teis
15172,colegio,Colexio de Educación Infantil e Primaria Valle Inclán
15172,colegio,Instituto de Educación Secundaria Plurilingüe Xosé Neira Vilas
43007,colegio,La Salle Tarragona
03139,colegio,Col·legi d'Educació Infantil i Primària la Vallverda
46940,colegio,Col·legi d'Educació Infantil i Primària Enric Valor i Vives
46760,colegio,Institut d'Educació Secundària la Valldigna
46760,colegio,Col·legi Sant Josep Patronat
46760,colegio,Col·legi d'Educació Infantil i Primària Sant Miquel
46760,colegio,Col·legi d'Educació Infantil i Primària Divina Aurora
46023,colegio,Col·legi Trafalgar
46021,colegio,Parque Colegio Santa Ana
36001,colegio,Instituto de Educación Secundaria Valle-Inclán
36002,colegio,Colexio de Educación Infantil e Primaria Froebel
36001,colegio,Instituto de Educación Secundaria Sánchez Cantón
36005,colegio,Instituto de Educación Secundaria A Xunqueira II
36002,colegio,"Colexio Concertado Plurilingüe Nosa Señora dos Dolores, Irmás de Santa Dorotea"
46022,colegio,Colegio concertado La Anunciación
15008,colegio,Instituto de Educación Secundaria A Sardiñeira
36209,colegio,Colexio de Educación Infantil e Primaria Escultor Acuña
03370,colegio,Instituto Educación Secundaria Jaime de Sant-Ángel
03610,colegio,Col·legi d'Educació Infantil i Primària La Foia
03610,colegio,Institut d'Educació Secundària La Canal
03610,colegio,Col·legi d'Educació Infantil i Primària 9 d'Octubre
03610,colegio,Col·legi d'Educació Infantil i Primària Reina Sofia
03610,colegio,Col·legi d'Educació Infantil i Primària Reis Catòlics
36204,colegio,Colexio Privado Fogar Afundación
36800,colegio,Centro de Educación Primaria Plurilingüe Santa Mariña
36800,colegio,Escola de Educación Infantil A Marisma
36800,colegio,Instituto de Educación Secundaria Pedro Floriani
03610,colegio,Col·legi d'Educació Primària Rambla dels Molins
03610,colegio,Col·legi d'Educació Infantil i Primària Virrei Poveda
03440,colegio,Col·legi d'Educació Infantil i Primària Madre Felicidad Bernabeu
03440,colegio,Col·legi d'Educació Infantil i Primària Cervantes
03610,colegio,Institut d'Educació Secundària Poeta Paco Mollá
03610,colegio,Institut d'Educació Secundària Azorín
03610,colegio,Centro Santo Domingo Savio
03600,colegio,Colegio Sagrada Familia
03140,colegio,Col·legi d'Educació Infantil i Primària Molivent
03140,colegio,Institut d'Educació Secundària Les Dunes
03600,colegio,Col·legi d'Educació Infantil i Primària Miguel Servet
27700,colegio,Centro de Educación Infantil e Primaria Plurilingüe Gregorio Sanz
27700,colegio,Instituto de Educación Secundaria de Ribadeo Dionisio Gamallo
27700,colegio,Centro Integrado Formación Profesional Porta da Agua
46620,colegio,Instituto de Educación Secundaria Fernando III
46620,colegio,Colegio Público Isidro Girant
03700,colegio,Colegio Alfa & Omega
27850,colegio,Colexio de Educación Primaria Lois Tobío
32001,colegio,Colexio de Educación Infantil e Primaria A Ponte
32001,colegio,Instituto de Educación Secundaria 12 de Outubro
32005,colegio,Colexio das Xosefinas
32005,colegio,Instituto de Ensino Secundario Otero Pedrayo
32005,colegio,Centro Integrado de Formación Profesional A Farixa
32002,colegio,Gardaría Infantil do Couto
32003,colegio,Colexio Privado Plurilingüe María Auxiliadora
32003,colegio,Colexio de Educación Infantil e Primaria Plurilingüe Curros Enríquez
32002,colegio,Instituto de Educación Secundaria Universidade Laboral
32003,colegio,Colexio Maristas Santa María
32004,colegio,Instituto de Educación Secundaria As Lagoas
36681,colegio,
36689,colegio,
46022,colegio,Institut d'Ensenyament Secundari Serpis
32002,colegio,Colexio de Educación Infantil e Primaria Manuel Luís Acuña
03205,colegio,Institut d'Educació Secundària Nit de l'Albà
15113,colegio,Colexio de Educación Infantil e Primaria Milladoiro
46980,colegio,Institut d'Educació Secundària Henri Matisse
46460,colegio,Col·legi d'Educació Infantil i Primària El Patí
27800,colegio,Instituto de Educación Secundaria Lois Peña Novo
46600,colegio,Institut d'Educació Secundària José María Parra
46600,colegio,Col·legi La Puríssima Germanes Franciscanes
36214,colegio,Instituto de Educación Secundaria Ricardo Mella
46780,colegio,Col·legi d'Educació Infantil i Primària Hort de Palau
36215,colegio,Instituto de Educación Secundaria Carlos Casares
46650,colegio,Institut d'Educació Secundària Sivera Font
36875,colegio,Escola de Música Municipal de Mondariz
03160,colegio,Colegio Público Pascual Andreu
46021,colegio,Col·legi d'Educació Infantil i Primària Federico García Lorca
15009,colegio,Instituto de Educación Secundaria Monelos
36209,colegio,Instituto de Educación Secundaria Alexandre Bóveda
36209,colegio,Instituto de Educación Secundaria Álvaro Cunqueiro
36209,colegio,Colexio Montesol
46009,colegio,Col·legi d'Educació Infantil i Primària Max Aub
46008,colegio,Institut d'Educació Secundària Cid Campeador
46018,colegio,Col·legi d'Educació Infantil i Primària 8 de Març
46009,colegio,Comenius Centre Educatiu
03140,colegio,Col·legi d'Educació Infantil i Primària Reis Catòlics
03204,colegio,Institut d'Educació Secundària Tirant lo Blanc
03205,colegio,Institut d'Educació Secundària Carrús
03205,colegio,Colegio Concertado sagrada familia
32760,colegio,Centro Público Integrado Virxe dos Remedios
43470,colegio,Escola Abel Ferrater
36001,colegio,Colexio de Educación Infantil e Primaria Álvarez Limeses
43424,colegio,Escola Salvador Ninot
15403,colegio,Instituto de Ensinanza Secundaria Sofía Casanova
15406,colegio,Colexio Privado La Salle
15406,colegio,EPAPU Santa María de Caranza
15405,colegio,Colexio de Educación Infantil e Primaria San Xoán de Filgueira
15405,colegio,Centro Integrado de Formación Profesional Leixa
36001,colegio,Escola de Educación Infantil Concepción Crespo Rivas
36001,colegio,Colexio de Educación Infantil e Primaria Campolongo
15593,colegio,Colexio de Educación Infantil e Primaria A Laxe
36003,colegio,Instituto de Ensino Secundario Frei Martín Sarmiento
15011,colegio,Centro Privado Calasanz - PP Escolapios
03170,colegio,Instituto de Educación Secundaria La Encantá
03804,colegio,Institut d'Educació Secundària Cotes Baixes
46701,colegio,Col·legi d'Educació Infantil i Primària Botànic Cavanilles
46702,colegio,Institut d'Educació Secundària Maria Enríquez
43460,colegio,Institut Fonts del Glorieta
43460,colegio,Escola Mare de Déu del Remei
32003,colegio,Colexio de Educación Infantil e Primaria Mestre Vide
