codigo_postal,provincia,municipio_nombre,poblacion_actual,poblacion_hace_5a,crecimiento_%,supera_20k,crecimiento_positivo,precio_m2,variacion_anual_%,variacion_maximo_%,en_maximo_historico,precio_anual_positivo
46004,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
03550,Alicante/Alacant,"Alacant/Alicante, Sant Joan d'Alacant",118997.76923076923,109650.46153846153,8.52,True,True,,,,False,False
03113,Alicante/Alacant,"Alacant/Alicante, Elx/Elche",104441.61923076924,97021.71153846153,7.65,True,True,,,,False,False
03409,Alicante/Alacant,"Alacant/Alicante, Cañada, Salinas, Villena",102664.10256410256,95570.21153846153,7.42,True,True,,,,False,False
03011,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03002,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03003,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03699,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03004,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03005,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03006,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03007,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03008,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03009,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03010,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03138,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03012,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03013,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03014,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03015,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03112,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03540,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03115,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03001,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03114,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03559,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
03016,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,,,,False,False
43100,Tarragona,Tarragona,87480.8,81677.2,7.11,True,True,,,,False,False
43130,Tarragona,Tarragona,87480.8,81677.2,7.11,True,True,,,,False,False
43002,Tarragona,Tarragona,87480.8,81677.2,7.11,True,True,,,,False,False
